Date,Open,High,Low,Close,Volume,Adjusted Close
2016-04-01,17661.74,17811.48,17568.02,17792.75,104890000.0,17792.75
2016-03-31,17716.05,17755.7,17669.72,17685.09,102600000.0,17685.09
2016-03-30,17652.36,17790.11,17652.36,17716.66,79330000.0,17716.66
2016-03-29,17512.58,17642.81,17434.27,17633.11,86160000.0,17633.11
2016-03-28,17526.08,17583.81,17493.03,17535.39,70460000.0,17535.39
2016-03-24,17485.33,17517.14,17399.01,17515.73,84100000.0,17515.73
2016-03-23,17588.81,17588.81,17486.27,17502.59,84240000.0,17502.59
2016-03-22,17602.71,17648.94,17540.42,17582.57,95450000.0,17582.57
2016-03-21,17589.7,17644.97,17551.28,17623.87,84410000.0,17623.87
2016-03-18,17481.49,17620.58,17481.49,17602.3,321230000.0,17602.3
2016-03-17,17321.38,17529.01,17297.65,17481.49,117990000.0,17481.49
2016-03-16,17249.34,17379.18,17204.07,17325.76,118710000.0,17325.76
2016-03-15,17217.15,17251.7,17120.35,17251.53,92830000.0,17251.53
2016-03-14,17207.49,17275.07,17161.16,17229.13,96350000.0,17229.13
2016-03-11,17014.99,17220.09,17014.99,17213.31,123420000.0,17213.31
2016-03-10,17006.05,17130.11,16821.86,16995.13,117570000.0,16995.13
2016-03-09,16969.17,17048.5,16947.94,17000.36,116690000.0,17000.36
2016-03-08,17050.67,17072.79,16921.51,16964.1,108380000.0,16964.1
2016-03-07,16991.29,17099.25,16940.48,17073.95,100290000.0,17073.95
2016-03-04,16945.0,17062.38,16898.84,17006.77,106910000.0,17006.77
2016-03-03,16896.17,16944.31,16820.73,16943.9,91110000.0,16943.9
2016-03-02,16851.17,16900.17,16766.32,16899.32,104470000.0,16899.32
2016-03-01,16545.67,16865.56,16545.67,16865.08,105050000.0,16865.08
2016-02-29,16634.15,16726.12,16510.4,16516.5,126220000.0,16516.5
2016-02-26,16712.7,16795.98,16623.91,16639.97,98480000.0,16639.97
2016-02-25,16504.38,16697.98,16458.42,16697.29,94120000.0,16697.29
2016-02-24,16418.84,16507.39,16165.86,16484.99,93620000.0,16484.99
2016-02-23,16610.39,16610.39,16403.53,16431.78,98170000.0,16431.78
2016-02-22,16417.13,16664.24,16417.13,16620.66,102240000.0,16620.66
2016-02-19,16410.96,16410.96,16278.0,16391.99,134340000.0,16391.99
2016-02-18,16483.76,16511.84,16390.43,16413.43,104950000.0,16413.43
2016-02-17,16217.98,16486.12,16217.98,16453.83,124080000.0,16453.83
2016-02-16,16012.39,16196.41,16012.39,16196.41,142030000.0,16196.41
2016-02-12,15691.62,15974.04,15691.62,15973.84,132550000.0,15973.84
2016-02-11,15897.82,15897.82,15503.01,15660.18,172070000.0,15660.18
2016-02-10,16035.61,16201.89,15899.91,15914.74,122290000.0,15914.74
2016-02-09,16005.41,16136.62,15881.11,16014.38,127740000.0,16014.38
2016-02-08,16147.51,16147.51,15803.55,16027.05,165880000.0,16027.05
2016-02-05,16417.95,16423.63,16129.81,16204.97,139010000.0,16204.97
2016-02-04,16329.67,16485.84,16266.16,16416.58,131490000.0,16416.58
2016-02-03,16186.2,16381.69,15960.45,16336.66,141870000.0,16336.66
2016-02-02,16420.21,16420.21,16108.44,16153.54,126210000.0,16153.54
2016-02-01,16453.63,16510.98,16299.47,16449.18,114450000.0,16449.18
2016-01-29,16090.26,16466.3,16090.26,16466.3,217940000.0,16466.3
2016-01-28,15960.28,16102.14,15863.72,16069.64,130120000.0,16069.64
2016-01-27,16168.74,16235.03,15878.3,15944.46,138350000.0,15944.46
2016-01-26,15893.16,16185.79,15893.16,16167.23,118210000.0,16167.23
2016-01-25,16086.46,16086.46,15880.15,15885.22,123250000.0,15885.22
2016-01-22,15921.1,16136.79,15921.1,16093.51,145850000.0,16093.51
2016-01-21,15768.87,16038.59,15704.66,15882.68,145140000.0,15882.68
2016-01-20,15989.45,15989.45,15450.56,15766.74,191870000.0,15766.74
2016-01-19,16009.45,16171.96,15900.25,16016.02,144360000.0,16016.02
2016-01-15,16354.33,16354.33,15842.11,15988.08,239210000.0,15988.08
2016-01-14,16159.01,16482.05,16075.12,16379.05,158830000.0,16379.05
2016-01-13,16526.63,16593.51,16123.2,16151.41,153530000.0,16151.41
2016-01-12,16419.11,16591.35,16322.07,16516.22,117480000.0,16516.22
2016-01-11,16358.71,16461.85,16232.03,16398.57,127790000.0,16398.57
2016-01-08,16519.17,16651.89,16314.57,16346.45,141850000.0,16346.45
2016-01-07,16888.36,16888.36,16463.63,16514.1,176240000.0,16514.1
2016-01-06,17154.83,17154.83,16817.62,16906.51,120250000.0,16906.51
2016-01-05,17147.5,17195.84,17038.61,17158.66,105750000.0,17158.66
2016-01-04,17405.48,17405.48,16957.63,17148.94,148060000.0,17148.94
